label,content
1,"外观设计好看，有特色颜值高，系统流畅，图像清晰
屏幕占比很高，满满的屏幕，握感很好，好舒服，电量大续航久，很喜欢，不错。"
1,荣耀X30千元机的价格性价比很高，顶部和左右边框都比较狭窄，视觉上实现了更高的屏占比，背部设计的&ldquo;圆筒&rdquo;型镜头模组非常完美对称，而且荣耀X30采用了4800mAh电池和66W快充的组合，30分钟可充入81电量，作为一款千元机也不差！拍照采用的是4800万像素AI三摄满足基本拍照要求没问题！
1,超薄手机，配置齐全，硬件一流，手感颜值真是棒极了，荣耀品牌我信赖！大赞！
1,"运行特别流畅，眼镜也特别舒服，物流很快，物品完好无损，用起来很舒服，喜欢?
外形外观：颜色特别亮，很喜欢
拍照效果：像素特别好，很清晰"
1,上一个手机用的就是荣耀的，价格实惠，打开看很靓丽，外观设计不错，手机手感很薄，画面流畅，清晰，极速充电，待机时间较长，很满意。
1,顺畅超级超级美的配色，光线不一样的时候，会有不同的色彩和光泽，手感极好。用起来顺畅，充电快，唯一的遗憾就是没有耳机。京东次日达真的太方便了。妈妈很指喜欢！
1,屏幕超大，清晰柔和。触摸灵敏度高，操作顺畅丝滑。电池容量大，充电超快，待机时间长。外观很大气，后置摄像头很抢眼，千元良心机！
1,"外形外观：大方精美上档次，手感也很好，这个价位里的翘楚
屏幕音效：屏幕大，显示效果好，音效佳，听歌很棒
拍照效果：像素高，色彩好，拍照效果杠杠的
运行速度：CPU给力，内存大，运行速度贼流畅
待机时间：待机时间长，用的少一天都不用充电
其他特色：这个价位的5G手机里面性价比很高的了"
1,"外形外观：屏幕很大，适合追求大屏的盆友，摄像头很炫酷。
拍照效果：像素清晰，能够满足日常拍照和视频需求。
待机时间：电量耐用，充电一次至少可以使用一天。"
1,"外形外观：外观感觉还行，特别是后置矩阵相机比较有辨识度
屏幕音效：lcd护眼屏，老年人用真的友好，边框居然非常窄，确实可以
拍照效果：调教了很多年的镜头了，拍照扫码足够用
运行速度：系统还是很流畅的，加上高刷屏幕，就等时间来考验了
待机时间：大电池与快充真的很好"
1,收到了，有几个惊艳的地方，1.重量比较轻，不累手。2，显示屏边框比较窄，感觉手握着屏幕，视觉效果好。3，打吃鸡游戏不卡，也不发热，掉电比较慢。体验很好。4，快充太给力了。真的是节省时间。5，摄像头模组挺好看。颜值到位。6，整体运行非常流畅，用了很多华为手机，系统优化的非常不错。
1,"外形外观：美观大方。显示屏真的很好很窄的边框。
屏幕音效：很好很好
拍照效果：挺好的   很清晰
运行速度：流畅运行
待机时间：挺长的
其他特色：整体性高"
1,"外形外观：外形漂亮大气、很漂亮很喜欢！
拍照效果：拍照还可以、这价位值了！我很满意！
运行速度：运行虽说不上很快、但也不差！再配上这个价格、个人觉得完全超值！
待机时间：试着用了一下感觉待机很不错、充电也很快、很满意！
其他特色：手机外观漂亮大气、价格也不贵！买来给父母用很不错！谢谢京东！"
1,"外形外观：流畅简洁，摄像头占比小，窄边框，很好看。
屏幕音效：流畅清晰，色彩鲜艳。不伤眼镜。
拍照效果：四摄像头，拍照清晰流畅，
运行速度：不打游戏，日常使用没问题。
待机时间：一天应该没问题。
其他特色：六十六瓦快充，方便好用。"
1,给妈妈买的手机，挑选了很久，也纠结了很久，决定试试荣耀这款，京东物流很快就到了，拿到手，挺不错的，字体可以调大，功能很齐全，照相像素对于妈妈来说，已经很足够了！内存也足够大！！期待后面妈妈自己的反馈！！
1,手机收到了，质量还可以，外观效果杠杠滴！反应速度也可以，运营流畅，准备下载一个游戏试试，期待它飞一般的感觉～～～
1,"外形外观：很好看^&omega;^颜色鲜艳，耐脏耐用。
屏幕音效：屏幕滑动很流畅音效正常。
拍照效果：拍照效果很清晰，小细节也能拍清楚。
运行速度：运行速度很快。
其他特色：空间很大，足够用。整体来说是一部很好的手机?"
1,外观漂亮，手感好，音质俱佳，屏幕特清晰。媳妇特喜欢。她不玩游戏，平时刷刷视频听听音乐。等用几天再来追评。媳妇说好，才是真的好！
1,"外形外观：黑色看起来很高端
屏幕音效：音质很好，屏幕也很大
拍照效果：相机像素很满意
性价比非常高的一款手机"
1,"很不错
外形外观：很好看，很喜欢这个颜色
运行速度：很快，性价比很高
屏幕音效：很赞很赞
拍照效果：分辨率很高
推荐大家购买，买给爸爸妈妈，完全够用推荐购买"
1,荣耀X30这款手机从性能和外观都比较符合我的预期，尤其是大容量电池和快充技术，在日常生活中都比较实用，屏幕也很清晰，显示效果很好，我平时没有玩游戏，这个手机功能就已经足够了，客服也很耐心回答我提出的问题，还是期待它的耐用性吧！支持荣耀！ 其他特色：外观好看 电池续航：持久 运行速度：快 显示效果：好 拍照效果：好 通信音质：好
1,**的一貫作風，送貨很快，上个手机也是荣耀，克隆一下所有功和从前一样，方便，6.5寸大屏给力，配的66W快充，一个多小时就充满，更给力！魅海蓝色，好看！网速非常快，感觉不到迟滞，非常棒的手机！连2年电池包换，才1700多一点，性价比太高了！像那个X果的，动辄大几千，抢钱呢！荣耀手机性价比高，***用中国货，理所当然！
1,"外形外观：薄 手感不错

屏幕音效：体挺好的

拍照效果：清晰
运行速度：快

物流速度很快 早上下单当天下午就到了 包装完美"
1,"外形外观：外观很大气、简洁而不失优雅、手感舒适
屏幕音效：声音还行
拍照效果：在这个价格上 非常给力了 虽和旗舰比还是差一些的
运行速度：10gb的运行内存很给力
待机时间：充电快，续航超久"
1,给老妈买的，下单后隔一天就到了，迫不及待开盒体验，选了老妈喜欢的金色，颜值爆表，通话清晰，功能非常人性化，充电速度也是嗖嗖的，非常成功的购物体验，大赞！
1,荣耀x30这款手机颜值高，性能好，分辨度也高，后面是圆形摄像头显得很有档次，屏幕也够用，快递包装很好好，严实合缝，第二天就到了
1,"很快收到了，应该是当地附近有货仓，包装细致，没有坏损，快递员面交。使用感觉目前不错，继续观察，便宜不了多少各平台，最多的便宜几十块。
长，好长想起芴板。最多九图"
1,荣耀x30 骁龙6**疾速5G芯 66W超级快充 8GB+128GB 魅海蓝色很好看，手机的质量杠杠滴！芯片是骁龙6**疾速，在打游戏和看视频都不会卡，而且5G信号很好。手机配有66W的超级快充，充电时间很快，30分钟左右就能满！电池容量也有4800ma，用个一整天不充电也没什么问题！京东服务不错！
1,"主要是颜值超高，1500元价位，能做到这么漂亮的颜值和手感，爱了爱了！
正面屏幕浑然一体，关键是边框超级窄！
背面环形设计的摄像头模组，辨识度很高！"
1,"外形外观：简单大气，黑色真的很好看。
屏幕音效：屏幕真的太爱了，买给老爸的，老爸很喜欢。
拍照效果：拍照功能很强大
运行速度：8G够用，运行起来特别流畅。
待机时间：待机时间很长，一直玩一天都可以
其他特色：这个价位性价比很高，也很喜欢，准备再给老妈买一个，爸爸爱不释手。"
1,手机质感不错，机身轻薄，屏幕很大分辨率高，买个父母用很合适，手机待机时间长，电池容量大耐用，充电速度快，而且有指纹识别和人脸解锁，很不错的手机。
1,"人脸识别，密码锁，指纹锁都有，指纹输入的位置就是开机关机键，而且感应非常灵敏，人脸识别也是秒开。

样子也不孬看，用起来也顺畅，拍照还可以，玩游戏一点不卡，国产机真的是越来越好用了，而且还便宜。已经推荐给我的小伙伴们了，用国产机都旺哈～哈哈哈哈～"
1,"外形外观：很洋气的太空银颜色，时尚好看
屏幕音效：柔和 好听
拍照效果：挺清晰的，够用了
运行速度：目前觉得还不错
待机时间：可以的
其他特色：居然买到了刚刚发售的容颜x30，很洋气的外观，期待有好的体验"
1,"外形外观：大屏幕好用，整体上也很好看
屏幕音效：木得问题
拍照效果：6400万相素
运行速度：爽滑流畅
待机时间：还没测试"
1,手机颜值非常高，拍照效果也好，蓝色特别好看，手感特别好，细长的看着外形很好看。荣耀质量非常好，速度快，爸爸非常满意，以后还买荣耀性价比太高了
1,荣耀新品，首先屏屏够大，刷新快，清晰度好，然后照相能力强大，手感特别舒服，充电快，电池够大，充满电能轻松用一天，不用担心手机没电了，处理器反应很快，系统相当流畅，只能用yyds来形容了，性价比无敌，特别满意，推荐购买，五星好评
1,给妈妈买的，老人很喜欢，屏幕高清，分辨率高，键盘反应灵敏，内存空间大。物流送货相当快，一如既往的喜欢。唯一的遗憾是没有赠送耳机，老人找不到耳机在哪放
1,发货非常快，隔天到。机器非常漂亮，运行速度非常快，屏幕大，父亲用着很不错。完美的购物体验，
1,很好用！外观漂亮，电池持久，运行速度快，充电也很快。性价比高，给家人买的，用着爱不释手。
1,包装非常好，物流也很快，给妈妈买的这个颜色也特别好看，屏幕很大，第一时间就赶紧拆封看了，果然不错的哈。感觉很棒
1,"宝贝早就收到了，也试用了两天各项功能很好，非常喜欢，非常满意的。京东自营店的产品希望质量有保证。
外形外观：很好看
屏幕音效：很好
拍照效果：很好
运行速度：快
待机时间：很好"
1,"外形外观：妥妥的小mate40设计
屏幕音效：很靓丽
拍照效果：满意
运行速度：可以的
待机时间：待测
其他特色：快充啊"
1,"用惯了荣耀，再一次购买。
外形外观：高端大气，有品质感，手感不错
屏幕音效：屏幕靓丽，色彩饱和
拍照效果：拍照不错，清晰。
运行速度：运行流畅，虽然695，短板吧，但运存流畅，满足使用。
待机时间：待机亮点，6**功耗给力，快充加持，cpu是个老年机，适合不玩游戏。
其他特色：性价比与支持国产"
1,"外形外观：很好看，耐看，特别适合女性，第一次买这个颜色，非常喜欢。
屏幕音效：屏幕很清晰
拍照效果：拍照效果也棒
运行速度：速度没得说，可以
待机时间：充一次电可以用十来个小时"
1,看到这款手机的介绍，恰巧打算换个手机，昨天傍晚就拍了下来，今天上午就收到了。手机的外观外形美观，屏幕色彩、和屏幕音效都很满意，试拍了几张照片，拍照效果很好 ，运行速度很快，这个价位的手机达到这个效果，我觉得值得上手。
1,"外形外观：简约大气，流线型非常好。
屏幕音效：一直不错
拍照效果：拍照清晰
运行速度：运行速度快，一点都不卡。
待机时间：电量耐用。
其他特色：背后相机漂亮，大气。"
1,一直想换一款颜值高一点的手机，对比了好多品牌，好多型号，最终选择了荣耀30，这个手机在千元机里面应该是属于天花板级别的，性价比高，运行速度快，外观颜值绝对超赞。提前预约，早上抢购，没想到的是下午就收到了手机了，京东的这个发货速度也绝对满赞，非常开心！
1,"外形外观：外观中规中矩，也还是挺好看，点赞
屏幕音效：屏幕色彩鲜艳，很靓，音效也是极好的。
拍照效果：摄像效果也是挺好的，后台处理也特别及时，效率高
运行速度：主流速度，挺好的，运行流畅稳定
待机时间：电话不多，上网也就每天1小时的样子，管用5天不充电
期待能够提供转换为华为harmony操作系统的选项."
1,手机昨天下单 今天就到了 快递很快！手机收到后包装完整 很仔细 拆开手机非常惊喜 钛空银非常漂亮 在阳光下流光溢彩 开机后屏幕显示非常清楚 大屏很过瘾 双卡正反面的设计更是让人眼前一亮 运营非常快 期待它的后续精彩表现！
1,"外形外观：帮同事下单买的，用了一段时间才来评论，总的来说，外观设计的还可以，有4种颜色可以选择，背部是圆形环，类似Mate40背面。
屏幕音效：采用最高支持120Hz超窄边全视屏设计，屏幕6.81寸，高达94%屏占比，刷新率动态调整，顺滑流畅。
运行速度：采用骁龙6**芯片，多核心强大运算能力，流畅得很。
其他特色：最高支持66W的充电功率，电池4800mAh，续航能力强，8G运行内存，保障足够的运行内存。
拍照效果：采用4800万像素的高清三摄像头，加上荣耀的影像算法，拍照也可以。"
1,"外形外观：外型美观，时尚！是我喜欢的款式！
屏幕音效：挺好的。
拍照效果：很清晰！图像很真实！
运行速度：速度挺快的。毕竟是新手机肯定是快呀！没卡网！"
1,"外形外观：太漂亮了，颜值确实高，
屏幕音效：1080很亮，屏幕很清晰，性价比还是很高的。
运行速度：6g运行内存给老人用，够用了，速度很快，x30还是值得推荐的"
1,给老公买的，手感好，外观大气，屏幕大特喜欢，不晓得用起来咱样，用了再评！
1,"外形外观：窄边框，简洁流畅，简单大方，屏幕占比大，
屏幕音效：色彩鲜艳，不伤眼镜，
拍照效果：四个摄像头，拍照清晰流畅。
运行速度：日常使用没问题，
待机时间：用一天，应该没问题，超级快充，很快充满，"
