label,content
pos,Redmi Note 11 5G 天玑810手机收到了，包装的很好，这款手机是很不错的！买来给家里人用的，产品是很好的，外观不错，颜色也是很好看的。红米这款手机是真的漂亮，配置也挺高的，我觉得银色的外观特别靓，屏幕很大，而且音效还特别好。刚拿到就试了拍照，效果特别清晰！运行还挺快的，效果还是很不错的。手机的尺寸不算很小，但是屏占比挺高，R角看着也很舒服。中老年人用性价比高，反应灵敏，还送了手机壳，透明的手机壳就很好看。屏幕也很清晰，看起来很舒服。指纹解锁在侧边也很方便，总之妈妈很满意！我也超满意，这个手机还是很好的。感觉操作非常顺滑，像素密度很高，虽然摄像头数量不多，但丝毫不影响使用，绝对是性价比最高的一款千元机了，值得下手，还送了小礼物也非常不错！颜色也比较独特，渐变色的，充电速度超快的。手机拿在手里不大不小，也不是很沉的，挺方便的。
pos,手机很不错，天机810的，运行速度快，给爸妈买的， 老年人用用这个档位的真心不错，屏幕又大，拍照也清晰，一下子买俩，就是老是误触会自动下APP，这点很不好，外观造型艺术上也大，爸妈很喜欢?
pos,非常划算的一次京东自营购买体验，小米手机性价比很高，使用过后感觉速度很快，屏幕分辨率不错，运行速度挺快，双扬声器立体声效果好，和描述相符价廉物美！
pos,"外形外观：外观颜值不错，握持手感很好。摄像头处处理的比较美观。还有3.5耳机孔，完美。
屏幕音效：屏幕不错，丝滑，亮度挺好，显示效果挺细腻。
拍照效果：拍照不错，成像效果很好。体验不错。
运行速度：运行还行，挺快的。新机器感觉不孬。
待机时间：待机时间可以，毕竟5000的大电池。
其他特色：价格完美。"
pos,小米超级品牌日买的，比平常便宜了三百多，很划算！性价比很高，买来作为备用机的，刷个国际版系统，弄了下系统动画，超级壁纸，用起来很舒服！红米的性价比真的很高！值得购买！
pos,11 5 G天玑810 33 W Pro快充5000 mAh大电池6 GB..****8。SLui四PLUS 2021-11-17★★★由★1神秘黑境;6 GB+128 GB老爸手机不好用了，看到双十一优惠活动立马马就买了，可惜没货，等了几天终于到了，手机看着很大气，很是适合老年人用，自带的贴膜，还送的手机壳，非常的贴心!用起来也很流畅，拍照也很清楚!对于千元机来说，性价比非常高的手机!15秒15:40京东视频2说点儿什么呗~13口10凸
pos,好，很好，东西很不错，手机外观很漂亮，帮别人买的，物流超级快，外观外形很漂亮，颜色很好看啊；运行速度也不错，不错。
pos,"外形外观：机身很好看，外观颜色也很喜欢

屏幕音效：屏幕大小适中，适合女士，音效也不错

拍照效果：拍照效果不错，正常使用没问题

运行速度：比较流畅，不会卡顿

待机时间：正常使用一天多充电一次
其他特色：千元机里面很不错 适合老年人使用 唯一不好的是没有息屏显示"
pos,质量很好，使用方便，简单，价格便宜，实惠，1手感很好，很是喜欢，发货很快，对得起这价格，很赞
pos,快递很快，手机收到了，迫不及待的拆开了快递，特意选择黑色的，手机颜值很高，是想象中的颜色，很喜欢，上手感觉很不错，使用很流畅
