label,content
1,Redmi   Note   11   5G   天玑 810 收到 了 ， 包装 的 很 好 ， 这 款 是 很 不错 的 ！ 买来 给 家里人 用 的 ， 产品 是 很 好 的 ， 不错 ， 颜色 也 是 很 好看 的 。 红米 这款 是 真的 漂亮 ， 配置 也 挺 高 的 ， 我 觉得 银色 的 特别 靓 ， 很大 ， 而且 音效 还 特别 好 。 刚 拿到 就试 了 ， 特别 清晰 ！ 还 挺快 的 ， 还是 很 不错 的 。 的 尺寸 不算 很小 ， 但是 屏 占 比 挺 高 ， R 角 看着 也 很 舒服 。 中老年人 用 性价比 高 ， 反应 灵敏 ， 还 送 了 壳 ， 透明 的 壳 就 很 好看 。 也 很 清晰 ， 看起来 很 舒服 。 指纹 解锁 在 侧边 也 很 方便 ， 总之 妈妈 很 满意 ！ 我 也 超 满意 ， 这个 还是 很 好 的 。 感觉 操作 非常 顺滑 ， 像素 密度 很 高 ， 虽然 摄像头 数量 不 多 ， 但 丝毫 不 影响 使用 ， 绝对 是 性价比 最高 的 一款 千元 机了 ， 值得 下手 ， 还 送 了 小 礼物 也 非常 不错 ！ 颜色 也 比较 独特 ， 渐变色 的 ， 充电 超快 的 。 拿 在 手里 不大不小 ， 也 不是 很沉 的 ， 挺 方便 的 。
1,很 不错 ， 天机 810 的 ， 快 ， 给 爸妈 买 的 ，   老年人 用 用 这个 档位 的 真心 不错 ， 又 大 ， 也 清晰 ， 一下子 买俩 ， 就是 老是 误触 会 自动 下 APP ， 这点 很 不好 ， 造型艺术 上 也 大 ， 爸妈 很 喜欢 ?
1,非常 划算 的 一次 京东 自营 购买 体验 ， 小米 性价比 很 高 ， 使用 过后 感觉 很快 ， 分辨率 不错 ， 挺快 ， 双 扬声器 立体声 好 ， 和 描述 相符 价廉物美 ！
1,"外形 ： 颜值 不错 ， 握持 手感 很 好 。 摄像头 处 处理 的 比较 美观 。 还有 3.5 耳机 孔 ， 完美 。 
 音效 ： 不错 ， 丝滑 ， 亮度 挺 好 ， 显示 挺 细腻 。 
 ： 不错 ， 成像 很 好 。 体验 不错 。 
 ： 还 行 ， 挺快 的 。 新 机器 感觉 不 孬 。 
 待机时间 ： 待机时间 可以 ， 毕竟 5000 的 大 电池 。 
 其他 特色 ： 价格 完美 。"
1,小米 超级 品牌 日买 的 ， 比 平常 便宜 了 三百多 ， 很 划算 ！ 性价比 很 高 ， 买来 作为 备用机 的 ， 刷个 国际版 系统 ， 弄 了 下 系统 动画 ， 超级 壁纸 ， 用 起来 很 舒服 ！ 红米 的 性价比 真的 很 高 ！ 值得 购买 ！
1,11   5   G 天玑 810   33   W   Pro 快充 5000   mAh 大 电池 6   GB .. * * * * 8 。 SLui 四 PLUS   2021 - 11 - 17 ★ ★ ★ 由 ★ 1 神秘 黑境 ; 6   GB + 128   GB 老爸 不好 用 了 ， 看到 双十 一 优惠活动 立马 马 就 买 了 ， 可惜 没货 ， 等 了 几天 终于 到 了 ， 看着 很大 气 ， 很 是 适合 老年人 用 ， 自带 的 贴膜 ， 还 送 的 壳 ， 非常 的 贴心 ! 用 起来 也 很 流畅 ， 也 很 清楚 ! 对于 千元 机 来说 ， 性价比 非常 高 的 ! 15 秒 15 : 40 京东 视频 2 说 点儿 什么 呗 ~ 13 口 10 凸
1,好 ， 很 好 ， 东西 很 不错 ， 很漂亮 ， 帮别人 买 的 ， 物流 超级 快 ， 外形 很漂亮 ， 颜色 很 好看 啊 ； 也 不错 ， 不错 。
1,"外形 ： 机身 很 好看 ， 颜色 也 很 喜欢 
 
 音效 ： 大小 适中 ， 适合 女士 ， 音效 也 不错 
 
 ： 不错 ， 正常 使用 没 问题 
 
 ： 比较 流畅 ， 不会 卡顿 
 
 待机时间 ： 正常 使用 多 充电 一次 
 其他 特色 ： 千元 机 里面 很 不错   适合 老年人 使用   唯一 不好 的 是 没有 息屏 显示"
1,质量 很 好 ， 使用方便 ， 简单 ， 价格便宜 ， 实惠 ， 1 手感 很 好 ， 很 是 喜欢 ， 发货 很快 ， 对得起 这 价格 ， 很赞
1,快递 很快 ， 收到 了 ， 迫不及待 的 拆开 了 快递 ， 特意 选择 黑色 的 ， 颜值 很 高 ， 是 想象 中 的 颜色 ， 很 喜欢 ， 上 手 感觉 很 不错 ， 使用 很 流畅
1,"选 了 好久 选 了 小米 的 这款 ， 质量 很 好 ， 
 外形 ： 外观设计 大气 很 喜欢 
 音效 ： 很大 ， 声音 非常 好 很大 接 打电话 声音 很大 ， 
 ： 更是 完美 
 ： 也 非常 快 
 待机时间 ： 待机时间 很长 总之 非常 棒 ， 买 了 不 后悔 。"
1,"外形 ： 很 好 ， 外形 也 没得说 ， 给 父亲 买 的 。 
 音效 ： 也 很 好 ， 试用 了 两天 不错 
 ： 也 很 好 ， 这个 价位 相当 不错 了 
 ： 试用 了 两天 很快 物美价廉 
 待机时间 ： 待机时间 很长 刷 视频 啥 的 用 还 能 剩 一些 电 ， 玩游戏 没试 拿 应该 很 好 。 
 总得来说 很 满意"
1,"小米 就是 不 ， 一如既往 的 好 用 ， 我们 全家人 都 是 小米 
 外形 ： 精致 到极点 ， 完美 的 体现 
 音效 ： 大气 的 ， 极致 的 音效 
 ： 完美 的 ， 相当 清楚 。 
 ： 十分 快速 。"
1,红米 这款 是 真的 漂亮 ！ 配置 也 挺 高 的 ， 我 觉得 银色 的 特别 靓 ， 很大 ， 而且 音效 还 特别 好 ！ 刚 拿到 就 看 了 特别 清晰 ！ 还 挺快 ， 综合 很 好 ！ 喜欢 红米 ！
1,"千元级 别的 5   G ? ， 性价比 非常 高 ， 功能齐全 ， 日常 够用 。 
 外形 ： 大小 适合 ， 美丽动人 。 
 音效 ： 音响效果 不错 。 
 ： 清晰 。 
 ： 非常 不错 。 值得 推荐 。"
1,"外形 ： 高端 大气 上档次 ， 质感 比较 轻 
 音效 ： 音响效果 也 很棒 
 ： 图片 清晰 ， 惟妙惟肖 
 ： 流畅 ， 玩 大型 游戏 也 毫无 压力 
 待机时间 ： 5000 的 大 电池 ， 待机 很棒"
1,"特别 喜欢 NOTE11 这款 ， 大屏幕 ， 大 电池 ， 续航 能力 杠杠 的 。 处理速度 快 ， 内存 大 。 质量 好 , 京东 自营 质量 有 保障 ， 特别 满意 ， 物美价廉"
1,在 京东 给 妈妈 买 的 是 第三个 了 ， 一直 都 是 在 用 小米 ， 小米 的 品质 值得 购买 ， 时尚 大气 ， 操作 也 方便 ， 尤其 是 待机时间 特别 适合 老人家 用 ， 而且 还有 快充 可以 使用 。 以后 还会 再 购买 小米 产品 。
1,壳 颜色 不是 纯黑 的 ， 有点 偏 墨绿色 ， 但是 很 高级 ， 颜色 非常 好看 ， 像素 也 不错 ， 使用 很 流畅 ， 很 好 ， 快 。 这个 价位 非常 值得
1,"外形 ： 外形 设计 新颖 
 音效 ： 看着 舒服 ， 有 夜景 模式 ， 音效 很 好 
 ： 清晰 ， 人像 聚焦 快 ， 夜光 也 不错 
 ： 杠杠 的 ， 打游戏 也 不卡 
 待机时间 ： 待机时间 长 ， 配备 33 瓦快 充 ， 充电 快 
 其他 特色 ： 有 5g 网络 。 支持 双卡 双待"
1,这个 已经 用 了 2 天 了 ， 说 下 真实 感受 ， 充电 方面 超级 闪充 有点 厉害 ， 0 - 100 充满 45 分钟 左右 ， 非常 的 快 ， 天玑 810 的 处理器 + 60Hz 玩 王者 和 英雄 联盟 无 压力 ， 方面 显示 也 是 比较 好 的 ， 对得起 这个 价格 ， 后盖 摸 起来 手感 不错 ， 扬声器 也 是 左右 都 有 ， 还是 满意 的 ！
1,"外形 ： 做工 不错 ， 全面 屏 视觉 冲击 很强 ， 颜色 也 好看 
 待机时间 ： 一充 ， 轻度 使用 两天 一充 也 行 
 ： miui 很快 
 ： 中规中矩"
1,"外形 ： 很 好 ， 颜色 很正 。 
 音效 ： 清晰 ， 新手机 就是 好 。 
 ： 清晰 ， 还原 度高 。 
 ： 正常 使用 感觉 很快 。 
 待机时间 ： 足够 使用 了 。"
1,"给 家里人 堂妹 买 的 redmi   note11 ， 这个 浅梦 星河 小丫头 应该 挺 喜欢 的 ， 这 的 尺寸 不算 很小 ， 但是 屏 占 比 挺 高 ， R 角 看着 也 很 舒服 。 
 至于 为什么 买 这款 ， 妹妹 刚 高中 ， 要求 不高 ， 聊聊天 ， 查查 网页 就够 了 ， 这 充电 快 ， 续航 久 ， 满足 了 。 也 不能 太 高端 了 ， 容易 攀比 心理"
1,"这个 己 经用 了 几天 ， 说 下 真实 感受 ， 充 
 电 方面 超级 闪充 有点 厉害 ， 0 - 100 充满 45 分 
 钟 左右 ， 非常 的 快 ， 天现   810 的 处理器   + 60Hz 
 玩 王者 和 英雄 联盟 无 压力 ， 方面 显示 也 是 
 比较 好 的 ， 对得起 这个 价格 ， 后盖 摸 起来 手感 
 不错 ， 扬声器 也 是 左右 都 有 ， 还是 满意 的 ！"
1,给 家里 的 老人 买 的 ， 使用 的 时候 把 字体 调大 一些 ， 老人 说 使用 很 流畅 。 后盖 很漂亮 ， 完全 可以 满足 老人 的 日常 需求 。 买来 当 备用机 也 不错 。
1,"外形 ： 好看 ， 漂亮 
 音效 ： 看起来 很 舒服 ， 音效 也 是 杠杠 的 
 ： 很 好 
 ： 也 特别 快 
 待机时间 ： 充电 一次 可以 用 两天 ， 完全 够用"
1,双十 一 活动 优惠 力度 大 ， 就 给 老爸 买 了 ， 反应速度 挺快 的 ， 老爸 用 着 很 喜欢 ， 荧幕 十分 清晰 ， 感觉 特别 好 ， 手机电池 耗电 有些 快 ， 不过 省 着 电用 还是 可以 的 ， 发热 情况 很 好 ， 玩游戏 绝对 不会 卡 ， 基本 不 发热 ， 手感 绝佳 ， 机壳 颜色 也 很 不错 ， 还过得去 。
1,"外形 ： 属于 细长 那种 ， 很 适合 妈妈 拿 
 音效 ： 看着 很 舒服 ， 也 没有 去 研究 什么 屏 ， 这个 价位 的 也 没 必要 去 苛刻 要求 这些 细节 
 ： 6 + 128 老年人 足够 了"
1,"外形 ： 非常 不错 ， 很炫酷 ， 有 质感 
 音效 ： 千元 机 ， 感觉 已经 非常 不错 了 ， 性价比 高 
 ： 还 可以 吧 ， 日常 完全 没 问题 
 ： 感觉 流畅 ， 现在 还 不错 
 待机时间 ： 待机时间 挺长 的 ， 电池容量 挺大 的"
1,这 几年 一直 用红米 系列 的 ， 性价比 也 高 ， 价格 实惠 很 亲民 ， 有个 用 了 四年 了 除了 卡点 没 毛病 ， 内存 小 的 原因 ， 击鼓 中 了 300 券 ， 买 了 256 的 ， 很 划算 ， 壳 是 渐变色 的 也 漂亮 ， 音响效果 不错 ， 也 行 ， 不 打游戏 平常 很 够用 了 ， 总体 不错 ， 五六块 ， 次日 达 。 还 送 了 个 弹盖 保温杯
1,"好用   ，   非常适合 。   买 给 父母 的 ，   轻薄   、   颜色 也 很 好看   
 简单   的 设计 。   拿 着 不 中   ， 很 好 用 ，   父母 非常 喜欢   ！ 
 物流 很快 ，   送货上门 ， 方便 ， 会 回购 的 哦 。"
1,"真的 很 不错 ， 颜值 非常 高 ， 给 妈妈 用 的 ， 
 外形 ： 漂亮 
 音效 ： 很 高 
 ： 非常 棒 
 ： 非常 快"
1,"外形 ： 时尚 、 大气 、 美观 ， 颜色 适合 女孩子 使用 ； 
 音效 ： 非常 哇塞 、 音质 明显 高出 同等 价位 ； 
 ： 非常 好 ， 画质 清晰 、 堪比 专业 ； 
 ： 非常 快 ， 中 大 游戏 无 压力 ； 
 待机时间 ： 还是 很 好 的 ， 毕竟 有大 毫安 的 电池 。"
